id,user_text,url,number_of_hits,number_of_misses
00bfa89a-3cbb-483f-b36f-9a674e1ae5c3,w,https://www.google.com/search?q=web+telegram&sourceid=chrome&ie=UTF-8,0,1
73e35fbb-c6c2-4fd7-b2b3-cb858a3e446c,w,https://www.google.com/search?q=w&sourceid=chrome&ie=UTF-8,0,1
dacbbaf0-a6d3-489a-b7ea-370815853ee9,w,https://www.google.com/search?q=whtastpp+web&sourceid=chrome&ie=UTF-8,0,1
bf8a7cb2-e9be-4a6b-85e5-d67cb3c9fed4,w,https://www.kroll.com/en/insights/publications/cyber/exploring-kapes-graphical-user-interface,0,1
3299bfcb-0f08-453c-b2b5-3394a0a70843,w,https://web.telegram.org/a/#1774449695,0,1
56bd6581-98a6-4f17-b635-d6f08d65bbe9,w,https://www.google.com/search?q=w&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,0,1
efaa7412-b31a-4976-a1a9-c9a576b88546,w,https://www.google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,1,0
c1202e4d-ffc5-41c7-8238-d36f40c70b52,w,https://www.google.com/search?q=whtastpp+web&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,0,1
2431d222-92fb-4ddd-8adf-a26d0b814284,w,https://www.google.com/search?q=www&rlz=1C1ONGR_enSA1066SA1066&oq=w&sourceid=chrome&ie=UTF-8,0,1
8883fcab-9b5b-407f-b59e-69c95e58db6a,w,https://www.google.com/search?gs_ssp=eJzj4tDP1TdIrzSMV2A0YHRg8GIuL08FAC99BLA&q=wwe&rlz=1C1ONGR_enSA1066SA1066&oq=w&sourceid=chrome&ie=UTF-8,0,1
5a1be0c3-79b3-4c5d-8a32-151909e57743,w,https://www.kroll.com/,0,1
d2997532-bb03-4d73-950f-d3c2b8ede0d0,w,chrome://history/journeys?q=web%20telegram,0,1
59144b16-038a-40dc-9b66-833459f8708b,w,https://www.google.com/search?q=whatsapp&rlz=1C1ONGR_enSA1066SA1066&oq=w&sourceid=chrome&ie=UTF-8,0,1
d3f584d2-edab-41fa-b735-f1bfaadf5669,w,https://web.telegram.org/,0,1
87d1637d-87ef-404f-a44d-75967e61351b,ww,https://www.google.com/search?q=ww&sourceid=chrome&ie=UTF-8,0,1
471ae16a-05c2-4119-89ae-59492d114394,ww,https://www.google.com/search?q=w&sourceid=chrome&ie=UTF-8,0,1
31fac09a-46e8-4910-986e-cd0735d65bba,ww,https://www.google.com/search?q=whtastpp+web&sourceid=chrome&ie=UTF-8,0,1
e7377ab4-a77f-47e6-ae29-e1d2e4abddc6,ww,https://www.kroll.com/en/insights/publications/cyber/exploring-kapes-graphical-user-interface,0,1
21da996a-6835-4220-8e15-5e009e1f5edc,ww,https://web.telegram.org/,0,1
5bca8169-60c8-46c6-8693-e81f6e53ddec,ww,https://www.kroll.com/en/services/cyber-risk/incident-response-litigation-support/kroll-artifact-parser-extractor-kape/training,0,1
7a95f0d7-2087-406e-b003-42bd6e2f47a0,ww,https://www.kroll.com/en/services/cyber-risk/incident-response-litigation-support/kroll-artifact-parser-extractor-kape,0,1
